In an emergency which friends could you call in the middle of the night?,Friendships,Alltimes
Where did you go to school?,The Basics,Childhood
When and where were you born?,The Basics,Childhood
What do you do for a living?,The Basics,Adulthood
Where do you live now?,The Basics,Oldage
Do you have any nicknames? How did you get them?,The Basics,Childhood
Do you have any siblings?,Family,Alltimes
Where did you grow up?,The Basics,Alltimes
What are your parents' names?,The Basics,Alltimes
Do you have a significant other and who is it?,Love Life,Alltimes
Talk about a memory that makes you smile when you think of it.,Thoughtful,Alltimes
When have you felt homesick?,Thoughtful,Alltimes
What's the worst injury you've had?,Thoughtful,Alltimes
What's something foolish you've done?,Thoughtful,Alltimes
Have you ever broken or lost something that belonged to someone else?,Thoughtful,Alltimes
Who are the heroes and heroines in your life?,Thoughtful,Alltimes
What is your favorite virtue?,Thoughtful,Alltimes
Where would you most like to live?,Thoughtful,Alltimes
What is your idea of happiness?,Thoughtful,Alltimes
What natural gift would you most like to possess?,Thoughtful,Alltimes
What is your motto?,Thoughtful,Alltimes
What is your favorite food and drink?,Thoughtful,Alltimes
How would you like to die?,Thoughtful,
Who was your first crush?,Love Life,Youth
Who was your first kiss?,Love Life,Youth
Who was your first celebrity crush?,Love Life,Youth
Who was the first person who broke your heart?,Love Life,Youth
Who was your first love?,Love Life,Youth
What's hanging above your sofa?,Home Sweet Home,Alltimes
What do you love most about your home?,Home Sweet Home,Alltimes
What's your favorite photo of the city you live in?,Home Sweet Home,Alltimes
When did you buy your first home?,Home Sweet Home,Alltimes
If you had one week by yourself at home what would you do?,Home Sweet Home,Alltimes
Take a photo of the things pinned on your refrigerator.,Home Sweet Home,Alltimes
Where was your prom and who was your date?,Friendships,Youth
When did you graduate high school?,Education,Youth
Who were your best friends in high school & what were they like?,Friendships,Youth
Who was your favorite teacher in high school?,Education,Youth
What did your high school look like?,Education,Youth
Did you have a curfew in high school? Did you ever break it?,,Youth
Did you participate in any extracurricular activities throughout high school?,,Youth
Who were the school bullies? Who was in the popular crowd?,,Youth
Describe your high school experience.,,Youth
How did you get to and from school every day?,,Youth
What was the best class you took in high school? The worst?,,Youth
Share a photograph from your high school graduation.,,Youth
Describe your childhood home.,,Childhood
What food brings back childhood memories?,,Childhood
What was your biggest fear as a child?,,Childhood
What is your favorite childhood memory of summer?,,Childhood
Is there a photo of you as a Boy Scout Girl Scout or Brownie?,,Childhood
When and where did you learn to ride a bicycle?,,Childhood
Add a picture of the house you grew up in.,,Childhood
When and where did you learn to swim?,,Childhood
Who was your best friend growing up?,,Childhood
Describe a memorable childhood adventure.,,Childhood
What were your favorite activities outside of school?,,Childhood
What was your favorite childhood toy? Add a picture.,,Childhood
What's your favorite way to spend time with your sibling?,Family,Alltimes
What bonding moment with your sibling left a lasting impression on you?,Family,Alltimes
Describe a time when you and your sibling drove your parents nuts.,Family,Childhood
Did you ever feel tortured by your sibling?,Family,Alltimes
What's something that has caused tension between you and your sibling?,Family,Alltimes
What's the nicest thing you and your sibling have done for your parents?,Family,Alltimes
Share something you've kept from your sibling.,Family,Alltimes
Who would win in a fight between you and your sibling?,Family,Alltimes
Do you remember a time when your sibling made a sacrifice for you?,Family,Alltimes
What advice from your sibling has stayed with you?,Family,Alltimes
Did you do anything that you didn't tell your parents about?,Family,Youth
Do you have a picture of you at your favorite spot in the city you live in?,Home Sweet Home,Alltimes
What's the view from outside your window? Add a picture.,Home Sweet Home,Alltimes
What's your favorite thing hanging on your wall at home? Add a picture.,Home Sweet Home,Alltimes
How would you redecorate your home?,Home Sweet Home,Alltimes
What is your favorite object in your home?,Home Sweet Home,Alltimes
When was the first time you gave someone a key to your place?,Love Life,Adulthood
What was the first date you ever went on?,Love Life,Youth
What are some of the differences between your parents' life and your own?,Family,Alltimes
What are some of the similarities between your parents' life and your own?,Family,Alltimes
What have you learned from your parents?,Family,Alltimes
What's something your parents always said to you?,Family,Alltimes
Describe a favorite memory of your mom.,Family,Alltimes
Describe a favorite memory of your dad.,Family,Alltimes
What do you most admire about your parents?,Family,Childhood
I wish my parents were...,Family,Alltimes
Describe your parents.,Family,Alltimes
Who are your favorite heroes and heroines in history?,Proust Questionnaire,Alltimes
What social movement do you most admire?,Proust Questionnaire,Alltimes
What is your biggest pet peeve?,Proust Questionnaire,Alltimes
Which fault in others do you most easily tolerate?,Proust Questionnaire,Alltimes
Which fault in yourself do you most easily tolerate?,Proust Questionnaire,Alltimes
What event in history do you most admire?,Proust Questionnaire,Alltimes
Which historical figures do you most dislike?,Proust Questionnaire,Alltimes
Who are your favorite heroes and heroines in fiction?,Proust Questionnaire,Alltimes
What are your favorite names?,Proust Questionnaire,Alltimes
What is your present state of mind?,Proust Questionnaire,Alltimes
Who are your favorite poets?,Proust Questionnaire,Alltimes
Who are your favorite artists?,Proust Questionnaire,Alltimes
What is your most marked characteristic?,Proust Questionnaire,Alltimes
If not yourself who would you like to be?,Proust Questionnaire,
Who are your favorite musicians?,Proust Questionnaire,Alltimes
Who are your favorite writers?,Proust Questionnaire,Alltimes
What is your favorite bird?,Proust Questionnaire,Alltimes
What is your idea of misery?,Proust Questionnaire,Alltimes
What are your favorite qualities in a woman?,Proust Questionnaire,Alltimes
What is your favorite color and flower?,Proust Questionnaire,Alltimes
What do you enjoy doing most?,Proust Questionnaire,Alltimes
What is your biggest weakness?,Proust Questionnaire,Alltimes
What do you most value in your friends?,Proust Questionnaire,Alltimes
What are your favorite qualities in a man?,Proust Questionnaire,Alltimes
What do you most dislike?,Proust Questionnaire,Alltimes
Describe an instance when time seemed to stop and you knew you were part of a moment that held great meaning.,Thoughtful,Alltimes
Describe a moment that your family/friends will never let you forget.,Thoughtful,Alltimes
What is the most spontaneous thing you've ever done?,Thoughtful,Alltimes
Do you have any children and what are their names?,Family,Adulthood
Recall the last time your attended a carnival or amusement park. Do you like rollercoasters? What is your favorite ride? What is your favorite carnival food?,Entertainment,Alltimes
Were you ever reprimanded for something that you did not do? Who actually did it?,Thoughtful,Childhood
What are some of the nicknames that you've had? Did you like or dislike these nicknames?,Fun,Alltimes
Are there any books that make you think about people in your life? What books Who do they make you think of?,Entertainment,Alltimes
Is there a TV show that you have watched religiously? Who was your favorite character? What was your favorite episode?,Entertainment,Alltimes
Did you go to University? Where?,Career,Youth
Who was your best friend in University?,Career,Youth
Where were you working in this period?,Career,Adulthood
Have travelled abroad in this period? Where?,Entertainment,Alltimes
